sample_id,enriched_date,flat_date,date_diff_days,is_same_day,is_summary_anchor,confidence_score,entities,enriched_preview,flat_preview
2,1629-07-25,1629-07-25,0,True,True,11602,"{'places': {'enriched': ['IJssel', 'Veluwe', 'Gravenhage', 'Utrecht', 'Arnhem', 'Gorinchem', 'Dordrecht', 'Amsterdam', 'Gelderland', 'Overijssel', 'Zwolle'], 'found_in_flat': ['Veluwe', 'Utrecht', 'Arnhem', 'Dordrecht', 'Amsterdam'], 'matched_count': 5, 'total_in_enriched': 11}, 'persons': {'enriched': ['222095', '767525', '574500', '208391', '938346', '789512'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 6}, 'organizations': {'enriched': ['7', '19', '29', '53', '44', 'Dordrecht', 'Delft', '78'], 'found_in_flat': ['Dordrecht'], 'matched_count': 1, 'total_in_enriched': 8}}","Gelezen zijn de missives van de gedeputeerden te velde d.d. 23 juli, twee brieven van het Hof
 van
 Gelre d.d. 13 juli o.s. en een missive van de
 Gedeputeerde Staten van Utrecht
 d.d. 14
 juli
 o.s., die alle melden dat de vijand de IJssel is
 overgestoken en zich aan de rand van de Veluwe
 verscha","Ouerlander, Gans, ende veel extraords. Synde gelesen de missiven van heeren haer Ho:Mo: Gedeputeerden in t' leger onder dato 23e. deses, als oock twee brieven van heeren Cantzeler ende Raden van Gelderlant in dato 13e. lestleden ouden styls mitsgaders een missive van heeren Gedeputeerde Staten van U"
4,1627-02-27,1627-02-27,0,True,True,14201,"{'places': {'enriched': ['Dordrecht', 'Merwede', 'Dordtse Kil', 'Zeeland', 'Hollands Diep', 'Holland', 'Brabant', 'Hertogenbosch', 'Biesbosch', 'Kloppenwaard', 'Werkendam', 'Oude Wiel', 'Hardinxveld', 'Hooge Kil', 'Oude\n\t\t\t\tWiel', 'Bassekil', 'Wildeland', 'Holland', 'Zeeland', 'Lage Zwaluwe', 'Lorregat', 'Drimmelen', 'Breda', 'Oude Maas', 'Langstraat', 'Altena'], 'found_in_flat': ['Dordrecht', 'Merwede', 'Zeeland', 'Holland', 'Brabant', 'Hertogenbosch', 'Biesbosch', 'Hooge Kil', 'Bassekil', 'Holland', 'Zeeland', 'Lorregat', 'Breda', 'Altena'], 'matched_count': 14, 'total_in_enriched': 26}, 'persons': {'enriched': ['223247', '391270'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 2}, 'organizations': {'enriched': ['33.', '8'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 2}}","HHM hervatten de behandeling van de remonstrantie van de gedeputeerden van Dordrecht, op 21 jan. door de afgevaardigden van de
 Rotterdamse Admiraliteit 
 overhandigd. Het stuk bevat onder meer plannen voor de
 beveiliging
 van de
 Hollandse rivieren. Een betere
 beveiliging van de rivieren tegen vi","Geresumeert synde de missive vande Gecommitteerde Raden ter Admirt. tot Rotterdam den xxven. deses ontfangen, Is geaccordeert dat sy de verhuirders ende vercopers vande schepen die sy volgens d'overgesondene lyste schuldich syn de somme van vierenvyftich duisent achtenveertich guldens vyffthien stui"
5,1628-03-13,1628-03-13,0,True,True,10601,"{'places': {'enriched': ['Frankrijk', 'Bahia\n\t\t\t\tde Todos\n\t\t\t\tos\n\t\t\t\tSantos', 'Texel', 'Gravenhage', 'Montpellier', 'Sluis', 'Engeland'], 'found_in_flat': ['Texel', 'Montpellier'], 'matched_count': 2, 'total_in_enriched': 7}, 'persons': {'enriched': ['472952', '789512', '22697', '906312', '811908', '881404', '374593', '551879', '606666', '186899', '122319', '659425', '187072', '244822'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 14}, 'organizations': {'enriched': ['94', '14'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 2}}","HHM lezen een groot memoriaal van de Franse ambassadeur.Het in het Frans gestelde memoriaal is
 geïnsereerd in S.G. 3187 en in vertaling gedrukt in:
 Aitzema, S. & O. kwarto II,
 610-613/folio I,
 768-770. 
 Nadat D'Espesses eergisteren bij HHM heeft aangedrongen op het dikwijls verzochte paspoort, ","Is gelesen een groot memoriael byden heer Ambassr. van Vranckryck Ingesonden, daerby deselue alnoch versouckt consent om te mogen uytvoeren de Waeren inde Memorie den xen. deses ouergegeuen gespecificeert, en daerbeneffens een groote deductie maeckt ouer t'geene by den hoogen Crychsraet in deliberat"
6,1627-09-03,1627-09-03,0,True,True,11201,"{'places': {'enriched': ['Capelle', 'Wijk', 'Manciapolder', 'Zevenbergen', 'Besoijen', 'Raamsdonk', 'Prinsenland', 'Drongelen', 'Engelen', 'Etten', 'Vlijmen', 'Sprang', 'Namen', 'Meeuwen'], 'found_in_flat': ['Drongelen', 'Engelen', 'Etten', 'Sprang'], 'matched_count': 4, 'total_in_enriched': 14}, 'persons': {'enriched': ['829114', '679172', '91786', '78603', '583363', '373673', '761908', '971741', '628543', '306524', '995723', '270038', '875528', '812049', '388678', '703060', '290076', '661499', '105456', '797631', '202909', '635470', '221397', '761576', '949444', '902500', '934134', '471411', '678485', '722641', '519996', '223885', '74730', '187378', '90333', '548388', '302013', '817556', '625311', '518977', '820048', '809811', '615550', '988774', '614440', '80768', '541790', '553610', '323637', '577139', '681216', '823803'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 52}, 'organizations': {'enriched': [], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 0}}","Ingevolge van de gisteren genomen resolutie is de volgende personen uitvoer van paarden toegestaan: Suijdewijn van Nuijssenborch en jonkvrouw Margareta
 Studelincx, weduwe
 van Dirck van Nuissenborch, ieder
 twee ruinen of
 merries naar Capelle; Willem
 Willemsen, Hendrick
 Theunissen,
 Willem Adria","Is geaccordeert aen Gysbert Dimmer Drost tot Steenbergen den uytvoer van een ruin ende twee moer peerden naer Steenbergen, op een binnenlantsche paspoorte ende onder cautie datte selve nergens elders sullen werden verbracht.

In gevolge vande resolutie gisteren genomen Is geaccordeert dat uytgevoert"
10,1629-04-12,1629-04-12,0,True,True,10601,"{'places': {'enriched': ['Amsterdam', 'Het Vlie', 'Wadden', 'Oost-Friesland', 'Oldenburg', 'Dithmarschen', 'Holstein', 'Jutland'], 'found_in_flat': ['Amsterdam', 'Wadden'], 'matched_count': 2, 'total_in_enriched': 8}, 'persons': {'enriched': ['789512', '917576', '831845', '956896', '978730', '457922'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 6}, 'organizations': {'enriched': ['31', '34'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 2}}","In aanwezigheid van Z.Exc. en de RvS buigt de
 vergadering zich over de commissie, de instructie en een concept
 van
 een artikelbrief die de gecommitteerden van de
 Admiraliteit te Amsterdam op 7
 april
 aan HHM
 voorgelegd hebben. Volgens deze stukken heeft
 Mathias Tipotius, commissaris van
 de
 ","Ontfangen een missive vanden selven geschreven als vooren den eersten deses houdende advertentie. Waerop egeen resolutie, Is gevallen. Is ter presentie van syn Excie. ende des Raets van State geexamineert de commissie ende instructie midtsgaders seker concept van een artyckelbrieff byde Gecommitteer"
11,1630-02-27,1630-02-27,0,True,True,10601,"{'places': {'enriched': ['Essen', 'Berg', 'Mark', 'Kleef', 'Ravensberg', 'Rijn', 'Wezel', 'Düsseldorf', 'Holland'], 'found_in_flat': ['Essen', 'Berg'], 'matched_count': 2, 'total_in_enriched': 9}, 'persons': {'enriched': ['580636', '966617', '529248', '782338'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 4}, 'organizations': {'enriched': [], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 0}}","Noortwyck rapporteert conform de resolutie van HHM met Z.Exc.
 nader te hebben gesproken over het advies van de RvS van 22 feb.
 over de klachten van die van Essen
 over de door 
 het ingekwartierde voetvolk en de
 ruiterij
 aldaar gepleegde excessen. Het advies luidde dat de stad Essen
 van een dee",Ontfangen een missive vant' Collegie ter Admiraliteyt tot Amsterdam geschreven aldaer den 23e. deses houdende rescriptie op haer Ho:Mo: brieff vanden 9e. daer te vooren belangende t'exerceren vande judicature over seker fleuytschip met syne soutladinge byt' voors Collegie vry verclaert ende naderhan
14,1628-04-28,1628-04-28,0,True,True,10601,"{'places': {'enriched': ['Leerort', 'Leer', 'Boneschans', 'Bellingwolderschans', 'Bellingwolderzijl', 'Bourtange', 'Avereest', 'Hasselt', 'Bergen op Zoom', 'IJssel', 'Holland'], 'found_in_flat': ['Bourtange', 'Hasselt'], 'matched_count': 2, 'total_in_enriched': 11}, 'persons': {'enriched': ['783104'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 1}, 'organizations': {'enriched': ['31', '54', '56'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 3}}","De heren van de RvS overhandigen het advies van hen en Z.Exc. inzake de remonstrantie van Friesland en Groningen over het bouwen van
 enkele fortificaties. 
 I Leerort dient te blijven zoals het is. Het oude werk richting
 Leer moet echter worden gerepareerd opdat het niet
 door
 kanonschoten kan wo","Noch ontfangen een missiue vanden Agent Mibassen geen resolutie vereyschende.

Syn ter vergaderinge gecompareert de heeren Raden van State, ende Is op derselver aduis goetgevonden de Prouincien aen te schryuen, dat sy vande nieuwe lichtinge van theen duysent man, de compaignien op haer gerepartieert"
15,1629-08-18,1629-08-18,0,True,True,13102,"{'places': {'enriched': ['Amersfoort', 'Wijk\n\t\t\t\tbij Duurstede', 'Amerongen', 'Rijn', 'Vaartse\n\t\t\t\tRijn', 'Vianen', 'Arnhem', 'IJssel', 'Doesburg', 'Zwolle', 'Wageningen', 'Rhenen', 'Waal', 'Schenkenschans', 'Buren', 'Culemborg', 'Vianen', 'Leerdam', 'Heukelum', 'Asperen', 'IJsselstein', 'Beesd', 'Rhenoy', 'Ravenswaaij', 'Nederbetuwe'], 'found_in_flat': ['Amersfoort', 'Amerongen', 'Vianen', 'Arnhem', 'Wageningen', 'Buren', 'Vianen', 'Leerdam', 'Asperen', 'Nederbetuwe'], 'matched_count': 10, 'total_in_enriched': 25}, 'persons': {'enriched': ['622867', '42600', '783104', '919925', '551879', '783104', '315478', '193101'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 8}, 'organizations': {'enriched': ['7'], 'found_in_flat': ['7'], 'matched_count': 1, 'total_in_enriched': 1}}","Deze resolutie is door een klerk
 ingeschreven in S.G. 54 en gedeeltelijk afgedrukt in
 Aitzema, S. & O. kwarto II,
 856-857/folio I, 871. 
 Raadsheren Diderick van Bemmel en burggraaf Bernard van
 Welderen hebben uit kracht van
 hun
 geloofsbrieven van het Hof van
 Gelderland d.d. 6/16 augustus. HH",Synde gelesen de requeste van Symon Graffils uyt den lande van Rutsenborch sittende binnen Geertruytdenberch gevangen gesecundeert by missive van syn Excie. in dato 17e. deses om te mogen genieten t' beneficie vande wisselinge der gevangenen den 16e Juny lestleden gearresteert daerinne hy suppliant 
17,1629-02-21,1629-02-21,0,True,True,10601,"{'places': {'enriched': ['Holland', 'Tunis', 'Algiers', 'Palermo', 'Sicilië', 'Vlaanderen', 'West-Indië', 'West-Indië'], 'found_in_flat': ['Tunis', 'Palermo'], 'matched_count': 2, 'total_in_enriched': 8}, 'persons': {'enriched': [], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 0}, 'organizations': {'enriched': ['29', '78', '33', '34', '35', '36'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 6}}","De gedeputeerden van Holland delen mee dat er bij de Staten van
 Holland, momenteel ter dagvaart, door
 echtgenotes,
 kinderen, ouders en vrienden zeer sterk wordt aangedrongen op de 
 vrijlating van de Nederlandse gevangenen in
 Tunis en Algiers, de 115
 matrozen
 tegen wie in Palermo op Sicilië
 e","De heeren van Hollant hebben geproponeert dat de heeren Staten haere principale jegenwoordich ter dachvaert vergadert synde seer hart aengelopen worden, vande huisvrouwen ende kinderen ouders ende vrunden respective van d'ingesetenen deser landen tot Thunis ende Algier gevangen sittende als oock med"
19,1628-07-07,1628-07-07,0,True,True,10601,"{'places': {'enriched': ['Engeland', 'Het Kanaal', 'Frankrijk', 'Vlaanderen', 'Hoofden', 'Seine', 'Maas', 'Texel', 'Flamborough Head', 'Het Vlie', 'Rif van Skagen', 'Noorwegen'], 'found_in_flat': ['Texel', 'Noorwegen'], 'matched_count': 2, 'total_in_enriched': 12}, 'persons': {'enriched': ['811908', '909612', '150743'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 3}, 'organizations': {'enriched': ['35', '33', '36', '34'], 'found_in_flat': [], 'matched_count': 0, 'total_in_enriched': 4}}","HHM hervatten het gisteren gedane rapport van de aanwezige afgevaardigden van de Admiraliteitscolleges inzake het door de Fransen veroveren van op Engeland handelende Nederlandse schepen en het schoonmaken en
 bevoorraden van de tot bescherming van Het Kanaal
 ingezette schepen. 
 Aangaande het eers","omme te revictualieren, niet langer aen lant blyvende als den tyt van acht off ten lancksten thien dagen, ende alsdan sich weder sal laten vinden op haere gedestineerde plaets ende vaerwater (ter ware sulcx by storm, onweder, ende harde contrarie winden off andersints wierde beleth) staende t'selue "
