sample_id,enriched_date,flat_date,date_diff_days,is_same_day,is_summary_anchor,confidence_score,top_candidates,evidence_summary,places_found_in_flat,persons_found_in_flat,organizations_found_in_flat,enriched_preview,flat_preview
1,1626-01-20,1626-01-21,1,False,False,251,[],date: 1 day gap; places: 1/13 matched (Vlissingen); persons: 0/6 matched; orgs: 0/3 matched; anchor: no; top candidates: ,['Vlissingen'],[],[],"Over de zaterdag jl. door de pachters van de konvooien en licenten ingeleverde puntenGeïnsereerd door een klerk in S.G. 51. besluiten HHM het volgende:
 
 I De supplianten vragen hun rekest d.d. 3 nov. 1625 in te willigen en te gelasten dat zij in hoger beroep mogen gaan tegen de gewezen of nog te w","Alsoo de Leger lasten, soo langs soo grooter vallen, ende mitsdien verstaen wert dat daerop nauwer toesicht dient genomen te werden, ende specialicken opte schepen die int leger gebruickt werden, Is goetgevonden dat uyt de Vergaderinge van haer ho:Mo: ende het Collegie des Raedts van State eenige ge"
2,1629-07-25,1629-07-25,0,True,True,11602,[],"date: same-day; places: 5/11 matched (Veluwe, Utrecht, Arnhem, Dordrecht, Amsterdam); persons: 0/6 matched; orgs: 1/8 matched (Dordrecht); anchor: yes; top candidates: ","['Veluwe', 'Utrecht', 'Arnhem', 'Dordrecht', 'Amsterdam']",[],['Dordrecht'],"Gelezen zijn de missives van de gedeputeerden te velde d.d. 23 juli, twee brieven van het Hof
 van
 Gelre d.d. 13 juli o.s. en een missive van de
 Gedeputeerde Staten van Utrecht
 d.d. 14
 juli
 o.s., die alle melden dat de vijand de IJssel is
 overgestoken en zich aan de rand van de Veluwe
 verscha","Ouerlander, Gans, ende veel extraords. Synde gelesen de missiven van heeren haer Ho:Mo: Gedeputeerden in t' leger onder dato 23e. deses, als oock twee brieven van heeren Cantzeler ende Raden van Gelderlant in dato 13e. lestleden ouden styls mitsgaders een missive van heeren Gedeputeerde Staten van U"
3,1628-09-18,1628-09-18,0,True,False,10301,[],date: same-day; places: 1/9 matched (Utrecht); persons: 0/5 matched; orgs: 0/1 matched; anchor: no; top candidates: ,['Utrecht'],[],[],"Soelen, Terestein,
 Overlander en
 Van der Lingen, afgevaardigden
 voor
 de uitdieping
 en verbetering van de Rijn en IJssel, compareren. Conform de
 resolutie van 22
 dec.
 1626, die van de RvS van 4 jan. 1627 en latere, gelijksoortige
 besluiten hebben zij met het leggen van de Vosselsche krib aan",Synde byde heeren van t'quartier van Nymegen voorgedragen dat haer hooch Mo: goetgevonden hebben den ixen. deses te schryuen aen t'collegie ter admiraliteyt tot Rotterdam om te hebben bericht opde clachte die de coopluijden & andere ingesetenen der voors Stede hebben gedaen ter saecke van xvic lxxi.
4,1627-02-27,1627-02-27,0,True,True,14201,[],"date: same-day; places: 14/26 matched (Dordrecht, Merwede, Zeeland, Holland, Brabant); persons: 0/2 matched; orgs: 0/2 matched; anchor: yes; top candidates: ","['Dordrecht', 'Merwede', 'Zeeland', 'Holland', 'Brabant', 'Hertogenbosch', 'Biesbosch', 'Hooge Kil', 'Bassekil', 'Holland', 'Zeeland', 'Lorregat', 'Breda', 'Altena']",[],[],"HHM hervatten de behandeling van de remonstrantie van de gedeputeerden van Dordrecht, op 21 jan. door de afgevaardigden van de
 Rotterdamse Admiraliteit 
 overhandigd. Het stuk bevat onder meer plannen voor de
 beveiliging
 van de
 Hollandse rivieren. Een betere
 beveiliging van de rivieren tegen vi","Geresumeert synde de missive vande Gecommitteerde Raden ter Admirt. tot Rotterdam den xxven. deses ontfangen, Is geaccordeert dat sy de verhuirders ende vercopers vande schepen die sy volgens d'overgesondene lyste schuldich syn de somme van vierenvyftich duisent achtenveertich guldens vyffthien stui"
5,1628-03-13,1628-03-13,0,True,True,10601,[],"date: same-day; places: 2/7 matched (Texel, Montpellier); persons: 0/14 matched; orgs: 0/2 matched; anchor: yes; top candidates: ","['Texel', 'Montpellier']",[],[],"HHM lezen een groot memoriaal van de Franse ambassadeur.Het in het Frans gestelde memoriaal is
 geïnsereerd in S.G. 3187 en in vertaling gedrukt in:
 Aitzema, S. & O. kwarto II,
 610-613/folio I,
 768-770. 
 Nadat D'Espesses eergisteren bij HHM heeft aangedrongen op het dikwijls verzochte paspoort, ","Is gelesen een groot memoriael byden heer Ambassr. van Vranckryck Ingesonden, daerby deselue alnoch versouckt consent om te mogen uytvoeren de Waeren inde Memorie den xen. deses ouergegeuen gespecificeert, en daerbeneffens een groote deductie maeckt ouer t'geene by den hoogen Crychsraet in deliberat"
6,1627-09-03,1627-09-03,0,True,True,11201,[],"date: same-day; places: 4/14 matched (Drongelen, Engelen, Etten, Sprang); persons: 0/52 matched; orgs: 0/0 matched; anchor: yes; top candidates: ","['Drongelen', 'Engelen', 'Etten', 'Sprang']",[],[],"Ingevolge van de gisteren genomen resolutie is de volgende personen uitvoer van paarden toegestaan: Suijdewijn van Nuijssenborch en jonkvrouw Margareta
 Studelincx, weduwe
 van Dirck van Nuissenborch, ieder
 twee ruinen of
 merries naar Capelle; Willem
 Willemsen, Hendrick
 Theunissen,
 Willem Adria","Is geaccordeert aen Gysbert Dimmer Drost tot Steenbergen den uytvoer van een ruin ende twee moer peerden naer Steenbergen, op een binnenlantsche paspoorte ende onder cautie datte selve nergens elders sullen werden verbracht.

In gevolge vande resolutie gisteren genomen Is geaccordeert dat uytgevoert"
7,1628-08-01,1628-07-31,1,False,False,1151,[],"date: 1 day gap; places: 4/16 matched (Westervoort, Zutphen, Bronsbergen, Hattem); persons: 0/1 matched; orgs: 0/0 matched; anchor: no; top candidates: ","['Westervoort', 'Zutphen', 'Bronsbergen', 'Hattem']",[],[],"Hertevelt bericht krachtens de resolutie van 19 juli de ter
 verdediging van de IJssel aanbestede forten te
 hebben gecontroleerd. De
 forten
 bij het Westervoortse veer onder
 IJsseloord en aan het eind van ""Deekens
 weerden""
 onder Doesburg bij ""Stevens huis""
 worden beide
 conform het plan gebouw","Syn in de vergaderinge gecompareert d'aenwesende Gedepden van t'Collegie ter Admiraliteyt tot Amsterdam rapporterende dat sy achtervolgens haer hooch Mo: resolutie van 24e. July lestleden, een uyt den haeren nae Amsterdam hadden affgesonden, om neffens den fiscael van haer Collegie te helpen nemen p"
8,1629-10-16,1629-10-16,0,True,False,10301,[],date: same-day; places: 1/7 matched (Veluwe); persons: 0/0 matched; orgs: 0/3 matched; anchor: no; top candidates: ,['Veluwe'],[],[],"HHM zullen in verband met het overgaan van 's-Hertogenbosch en het verlaten van de Veluwe door de vijand
 de Admiraliteit te Rotterdam
 schriftelijk
 verzoeken om informatie wat voor schepen dit College heeft liggen
 op de
 Maas, de Waal en de
 Rijn. Ook zullen de Admiraliteit te
 Amsterdam en in he",het versouck van Capn Dominicus van Coevorden om te hebben betalinge van syn achterstallige soldien Is gestelt ter dispositie van Raedt van State. Francois Falckenburch is uyt commiseratie toegeleyt de somme van drie gul die hem door de camerbewaerder herdersum sullen worden betaelt Mr. antonis vand
9,1628-05-04,1628-05-03,1,False,False,1451,[],"date: 1 day gap; places: 5/12 matched (Boneschans, Bellingwolde, Bourtange, Hasselt, Bergen op Zoom); persons: 0/2 matched; orgs: 0/3 matched; anchor: no; top candidates: ","['Boneschans', 'Bellingwolde', 'Bourtange', 'Hasselt', 'Bergen op Zoom']",[],[],"Deze resolutie is in S.G. 53 door een
 klerk ingeschreven. 
 Met de ter vergadering verschenen Z.Exc. resumeren HHM de door Friesland en Groningen verzochte fortificatie, de 
 verschaffing van vivres, munitie en volk en een vliegend leger.
 
 Aangaande de fortificatie besluiten HHM de omgeving van L","Oock is goetgevonden, dat aen Bellingwoldersyl eenige reparatien sullen mogen gedaen worden, te weeten, aende sluyse, en eenich aerdewerck voor een duysent gulden drie off vier, ende dat aende Bourtange d'oude wercken sullen gerepareert, ende aende Munstersche syde een hoornwerck gemaeckt mogen werd"
10,1629-04-12,1629-04-12,0,True,True,10601,[],"date: same-day; places: 2/8 matched (Amsterdam, Wadden); persons: 0/6 matched; orgs: 0/2 matched; anchor: yes; top candidates: ","['Amsterdam', 'Wadden']",[],[],"In aanwezigheid van Z.Exc. en de RvS buigt de
 vergadering zich over de commissie, de instructie en een concept
 van
 een artikelbrief die de gecommitteerden van de
 Admiraliteit te Amsterdam op 7
 april
 aan HHM
 voorgelegd hebben. Volgens deze stukken heeft
 Mathias Tipotius, commissaris van
 de
 ","Ontfangen een missive vanden selven geschreven als vooren den eersten deses houdende advertentie. Waerop egeen resolutie, Is gevallen. Is ter presentie van syn Excie. ende des Raets van State geexamineert de commissie ende instructie midtsgaders seker concept van een artyckelbrieff byde Gecommitteer"
